DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Estonia,2019,21490,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Estonia,2020,20960,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Estonia,2021,23650,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Estonia,2022,27260,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Estonia,2023,28080,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Estonia,2024,28990,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2015,16210,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2016,16190,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2017,16490,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2018,16830,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2019,17270,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2020,15660,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2021,17350,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2022,19570,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2023,21300,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Greece,2024,22480,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2015,23440,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2016,24190,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2017,25160,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2018,25950,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2019,26620,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2020,23850,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2021,26090,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2022,28790,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2023,30980,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,Spain,2024,32630,p,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2015,27800,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2016,28490,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2017,29650,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2018,30640,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2019,31700,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2020,30510,b,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2021,33260,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2022,36140,,
ESTAT:NAMA_10_PC(1.0),05/12/25 23:00:00,Annual,"Current prices, euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2023,38380,,
