panstwo,rok,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla
Estonia,2019,0.1384,1.339204081632653,1.3267755102040817,2.4912,9.37442857142857,7.96065306122449,0.26574419774157665,0.31293914969544084
Estonia,2020,0.12635,1.25316,1.0956,2.2742999999999998,8.772120000000001,6.573599999999999,0.2592645791439241,0.3459748083242059
Estonia,2021,0.16315,1.4264897959183673,1.2383061224489795,2.9366999999999996,9.98542857142857,7.429836734693877,0.2940985435920913,0.3952576758903703
Estonia,2022,0.2353,1.851137254901961,1.7903921568627452,4.2354,12.957960784313727,10.74235294117647,0.3268569854854915,0.39427116416602787
Estonia,2023,0.22494999999999998,1.7165961538461538,1.6080192307692307,4.049099999999999,12.016173076923076,9.648115384615384,0.33697084538306543,0.4196778167119126
Estonia,2024,0.2257,1.6737735849056603,1.5389245283018869,4.0626,11.716415094339622,9.23354716981132,0.3467442871636311,0.43998259014504126
Estonia,2025,0.23005,1.5590192307692308,1.4396346153846156,4.1409,10.913134615384616,8.637807692307693,0.3794418511215314,0.47939247405190955
Finlandia,2008,0.1248,1.4456232653061223,1.2612883673469386,2.2464,10.119362857142857,7.567730204081632,0.22199026082105114,0.2968393348362777
Finlandia,2009,0.12924999999999998,1.2772444,0.9919876,2.3264999999999993,8.9407108,5.9519256,0.26021421026167174,0.39088190215280905
Finlandia,2010,0.13475,1.4260102040816327,1.1342520408163266,2.4255,9.982071428571428,6.80551224489796,0.24298563853766394,0.35640226814937825
Finlandia,2011,0.15565,1.5597993877551022,1.367425918367347,2.8017000000000003,10.918595714285715,8.20455551020408,0.2565989320709348,0.34148102191709234
Finlandia,2012,0.1554,1.6707346938775511,1.5543469387755102,2.7972,11.695142857142859,9.326081632653061,0.2391762147900227,0.29993303835195567
Finlandia,2013,0.15685,1.64302,1.5239200000000002,2.8232999999999997,11.50114,9.14352,0.2454800132856395,0.3087760512362853
Finlandia,2014,0.15505,1.6073265306122448,1.4875102040816328,2.7908999999999997,11.251285714285714,8.925061224489797,0.24805165123985828,0.312703737240698
Finlandia,2015,0.15410000000000001,1.4680816326530612,1.308673469387755,2.7738000000000005,10.27657142857143,7.8520408163265305,0.2699149243772242,0.3532584795321638
Finlandia,2016,0.1543,1.3808399999999998,1.2002599999999999,2.7774,9.66588,7.201559999999999,0.28734062496120377,0.3856664389382301
Finlandia,2017,0.15899999999999997,1.4643199999999998,1.30202,2.8619999999999997,10.250239999999998,7.81212,0.27921297452547456,0.36635381944977796
Finlandia,2018,0.1655,1.52234,1.40042,2.979,10.65638,8.402519999999999,0.2795508418431024,0.354536496193999
Finlandia,2019,0.17585,1.5240816326530613,1.4079795918367346,3.1653000000000002,10.668571428571429,8.447877551020408,0.2966938939475094,0.37468582858633737
Finlandia,2020,0.17565,1.41178,1.2552,3.1617,9.88246,7.5312,0.3199304626580831,0.4198135755258126
Finlandia,2021,0.18035,1.6736122448979593,1.5153571428571428,3.2463,11.715285714285715,9.092142857142857,0.2770995158949846,0.357044543954749
Finlandia,2022,0.22039999999999998,2.108627450980392,2.1218039215686275,3.9671999999999996,14.760392156862743,12.730823529411765,0.26877334679454823,0.31162163161202083
Finlandia,2023,0.248,1.9292307692307693,1.9379423076923077,4.464,13.504615384615384,11.627653846153846,0.3305536568694464,0.3839123574767051
Finlandia,2024,0.2404,1.8016415094339622,1.7658113207547168,4.3272,12.611490566037736,10.594867924528302,0.343115667203763,0.4084241569431979
Finlandia,2025,0.22649999999999998,1.7066335530411618,1.654171026889777,4.077,11.946434871288133,9.92502616133866,0.3412733626329471,0.41077977364747875
Francja,2008,0.1208,1.365462857142857,1.278917551020408,2.1744,9.55824,7.673505306122449,0.22748957967157132,0.28336463105917375
Francja,2009,0.12065000000000001,1.2092919999999998,1.00222,2.1717,8.465043999999999,6.01332,0.2565491685571865,0.36114825088303965
Francja,2010,0.13165,1.342614081632653,1.1426489795918366,2.3697,9.39829857142857,6.85589387755102,0.25214138303756806,0.34564420662334927
Francja,2011,0.14024999999999999,1.4981204081632653,1.3325326530612245,2.5244999999999997,10.486842857142857,7.995195918367347,0.24073022113423756,0.3157521123654357
Francja,2012,0.14465,1.5664159183673472,1.3968755102040815,2.6037,10.96491142857143,8.38125306122449,0.23745745845383673,0.31065760465411874
Francja,2013,0.156,1.538434,1.3510360000000001,2.808,10.769038,8.106216,0.2607475245235461,0.3464008360991121
Francja,2014,0.16435,1.4919118367346937,1.2925179591836733,2.9583,10.443382857142856,7.75510775510204,0.28327028133193843,0.38146471892073347
